centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.5,947,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,901,1267.255234488761,5407.063324545656,1560.3242905505906,482765.95759133075
0.5,729,1232.2693715858452,9142.682656462192,1829.4658580955177,505596.59366630635
0.5,718,1825.7626905424804,8033.658208662194,1521.8827068457617,416894.2738947135
0.5,922,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,981,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
0.5,720,1291.8021933559678,7679.655573852274,1599.5691643241723,443555.8552069215
0.5,928,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,956,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,896,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,944,1482.39488166966,7942.306135086068,1868.5792424653673,555306.6396199755
0.5,927,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
0.5,910,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
0.5,741,1945.0215619557162,8041.32219322929,1429.6068343012323,459533.78699120285
0.5,721,1704.757489793427,8754.865260100953,1888.768319523363,504630.38071722223
0.5,932,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,940,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,728,1615.0147910032856,8763.10549705025,1877.8583198803642,507132.1241779283
0.5,713,1291.8021933559678,7679.655573852274,1599.5691643241723,443555.8552069215
0.5,714,1088.361430244615,9628.310548310765,1813.1943334862192,499891.0423462871
0.5,912,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,925,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,730,1620.1905073084554,7678.511857184947,1637.6628343145135,430385.92964073
0.5,974,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,716,1924.3447163452126,8885.353749337824,1905.1549020337955,480680.5437027442
0.5,968,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,734,1388.2789069822634,7642.951573212639,1611.721287896261,442350.6732305022
0.5,979,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
0.5,917,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,966,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
0.5,962,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,707,1783.478194570748,8768.845642207234,1897.6707616934668,500689.532917309
0.5,977,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,935,1482.39488166966,7942.306135086068,1868.5792424653673,555306.6396199755
0.5,911,1482.39488166966,7942.306135086068,1868.5792424653673,555306.6396199755
0.5,710,1096.0266632740245,7863.211954218368,1574.604190068365,442646.0099393943
